Date,Total_vaccination,Confirm
2021-03-01,21177,90029
2021-03-02,23086,90372
2021-03-03,87428,90816
2021-03-04,154421,91240
2021-03-05,225853,91638
2021-03-06,296380,92055
2021-03-07,314656,92471
2021-03-08,316865,92817
2021-03-09,383346,93263
2021-03-10,446941,93733
2021-03-11,500635,94198
2021-03-12,546277,94686
2021-03-13,583658,95176
2021-03-14,587884,95635
2021-03-15,588958,96017
2021-03-16,602150,96380
2021-03-17,621734,96849
2021-03-18,641331,97294
2021-03-19,659475,97757
2021-03-20,675426,98209
2021-03-21,676587,98665
2021-03-22,676607,99075
2021-03-23,680560,99421
2021-03-24,703612,99846
2021-03-25,733124,100276
2021-03-26,767451,100770
2021-03-27,792274,101275
2021-03-28,793858,101757
2021-03-29,793966,102141
2021-03-30,822448,102582
2021-03-31,852202,103088
